DeveloperSelectionDWID|ProjectID|Method|RFPName|RFQName|IsDeveloperPrequalified
505|39264|Application|||No
308|39369|Application|||No
257|39399|Application|||No
531|39402|Request for Qualifications||TPT Round 5 RFQ & TPT Round 6 RFQ|Yes
483|39480|Application|||No
235|41408|Application|||No
154|41493|Application|||No
203|43105|Application|||No
424|43276|Application|||No
137|43311|Application|||No
263|43312|Application|||No
175|43313|Application|||No
411|43388|Application|||No
255|43566|Application|||No
120|44072|Direct Negotiation|||No
492|45239|Application|||No
240|45586|Application|||No
122|48516|Direct Negotiation|||No
311|48517|Direct Negotiation|||No
296|48520|Direct Negotiation|||No
305|48522|Request for Proposals|The Neighborhood Stabilization Program 2: Notice of Funding Availability ||No
152|48524|Direct Negotiation|||No
234|48528|Direct Negotiation|||No
91|48529|Direct Negotiation|||No
112|48531|Direct Negotiation|||No
504|48537|Request for Qualifications||TPT Round 7 RFQ|Yes
185|48538|Direct Negotiation|||No
309|44365|Application|||No
125|48033|Direct Negotiation|||No
150|48037|Direct Negotiation|||No
429|46017|Application|||No
506|47926|Request for Qualifications||TPT Round 7 RFQ|Yes
236|48375|Direct Negotiation|||No
441|48087|Application|||No
503|47932|Request for Qualifications||TPT Round 8&9 RFQ|Yes
253|48068|Application|||No
508|47933|Request for Qualifications||TPT Round 8&9 RFQ|Yes
335|48380|Application|||No
469|48305|Application|||No
211|47799|Application|||No
398|47821|Application|||No
356|47865|Application|||No
431|48452|Application|||No
183|47774|Application|||No
151|47775|Application|||No
247|48633|Direct Negotiation|||No
264|47886|Request for Qualifications||Multifamily Preservation Program RFQ|Yes
294|48365|Request for Qualifications||Chinatown Lower East Acquisition Program|Yes
371|48873|Application|||No
133|49139|Direct Negotiation|||No
501|48884|Application|||No
281|47945|Application|||No
524|48888|Application|||No
636|48887|Application|||No
641|48910|Selected By Another Agency|||No
605|48755|Application|||No
630|49270|Application|||No
616|48733|Application|||No
564|49517|Application|||No
634|48892|Application|||No
586|48891|Application|||No
585|49275|Application|||No
147|48744|Application|||No
118|48623|Application|||No
618|48730|Application|||No
676|49272|Application|||No
578|48681|Application|||No
587|49060|Application|||No
604|48685|Application|||No
598|44865|Application|||No
628|46264|Application|||No
104|48739|Application|||No
208|46262|Application|||No
597|49273|Application|||No
109|48555|Application|||No
567|49576|Application|||No
201|48743|Application|||No
558|44420|Application|||No
583|48690|Application|||No
606|49070|Application|||No
601|48677|Application|||No
594|47838|Application|||No
342|48689|Application|||No
516|48415|Application|||No
623|48765|Application|||No
224|47770|Application|||No
334|47824|Application|||No
439|47826|Application|||No
358|44423|Request for Proposals|New Foundations Request for Proposals- Round III||No
395|47822|Application|||No
427|47873|Application|||No
547|47866|Application|||No
434|47867|Application|||No
464|48126|Application|||No
432|47882|Application|||No
514|44373|Application|||No
254|45961|Application|||No
479|48086|Application|||No
546|47831|Application|||No
482|48390|Application|||No
550|48060|Application|||No
205|47798|Application|||No
271|48521|Application|||No
359|48532|Application|||No
599|48890|Application|||No
633|49628|Application|||No
612|49569|Application|||No
596|48686|Application|||No
635|49103|Application|||No
590|48754|Application|||No
639|48896|Application|||No
565|48766|Application|||No
589|48889|Application|||No
572|48660|Application|||No
577|48625|Request for Qualifications||TPT Round 8&9 RFQ|Yes
613|48632|Application|||No
453|47883|Application|||No
571|44350|Negotiated Sale|||No
570|48634|Application|||No
625|48897|Application|||No
622|47772|Application|||No
614|48788|Application|||No
620|48657|Application|||No
615|48902|Application|||No
637|48895|Application|||No
621|48752|Application|||No
489|48125|Application|||No
366|47921|Application|||No
593|48726|Request for Proposals|Hunters Point South, Queens,NY Request for Proposals||No
592|49143|Request for Proposals|Hunters Point South, Queens,NY Request for Proposals||No
574|46299|Application|||No
600|47805|Request for Qualifications||Multifamily Preservation Program RFQ|Yes
588|49534|Selected by Another Agency|||No
579|48003|Request for Proposals|The New York City Department of Housing Preservation and Developent and The New York City Housing Authority Affordable Housing for the Bronx Request for Proposals||No
410|44275|Negotiated Sale|||No
610|44369|Request for Proposals|Request for Proposals Cornerstone Program Round IV||No
607|44258|Request for Proposals|Request for Proposals Cornerstone Program Round IV||No
584|44362|Application|||No
348|45142|Application|||No
608|48771|Application|||No
624|46076|Application|||No
644|48772|Negotiated Sale|||No
595|45301|Selected by Another Agency|||No
355|44345|Negotiated Sale|||No
632|45677|Application|||No
393|47843|Application|||No
381|48414|Application|||No
533|48423|Application|||No
250|48425|Application|||No
495|48514|Application|||No
496|48515|Application|||No
409|48540|Application|||No
440|47477|Application|||No
100|45336|Selected by Another Agency|||No
364|44349|Negotiated Sale|||No
413|44336|Negotiated Sale|||No
330|45990|Application|||No
425|44320|Negotiated Sale|||No
390|44403|Request for Proposals|The New York City Department of Housing Preservation and Developent and The New York City Housing Authority Affordable Housing for the Bronx Request for Proposals||No
527|44544|Application|||No
231|44377|Application|||No
