FundDWID|ProjectID|FundName|Type|Amount
1445|39264|HOME|Loan|1327266
2473|39369|City Capital|Loan|1872452
1762|39399|City Capital|Loan|8000000
1349|39402|City Capital|Loan|4391026
2320|39480|City Capital|Loan|269174
1686|41408|HOME|Loan|492235
1859|41493|City Capital|Loan|1426410
1715|43105|HOME|Loan|290000
1812|43105|City Capital|Loan|448235
1337|43276|City Capital|Loan|8000000
1940|43276|Reso A|Loan|2000000
1875|43311|City Capital|Loan|692217
2516|43312|City Capital|Loan|945252
1741|43313|HOME|Loan|438467
1838|43313|City Capital|Loan|438467
2382|43388|City Capital|Loan|5000000
2314|45239|City Capital|Loan|16360000
2679|45239|9% Tax Credit Equity|LIHTC Equity|11494696
1457|45239|HOME|Loan|1000000
1931|45586|Reso A|Loan|2965300
5221|48522|NSP 2|Loan|252608
2303|48537|City Capital|Loan|5596114
2367|46017|City Capital|Loan|1800000
1510|46017|HOME|Loan|1740000
2077|46017|Reso A|Loan|613000
4340|46017|4% Tax Credit Equity|LIHTC Equity|6881012
2301|47926|City Capital|Loan|1853840
2011|47926|Reso A|Loan|330000
2357|48087|City Capital|Loan|8350000
3587|48087|4% Tax Credit Equity|LIHTC Equity|20664644
2304|47932|City Capital|Loan|3695617
2300|47933|City Capital|Loan|12176119
2448|48380|City Capital|Loan|6515304
1591|48380|HOME|Loan|1740000
4421|48380|4% Tax Credit Equity|LIHTC Equity|8502950
2333|48305|City Capital|Loan|1085518
1476|48305|HOME|Loan|361845
1804|47799|City Capital|Loan|1289032
2392|47821|City Capital|Loan|4983970
2430|47865|City Capital|Loan|1275000
2365|48452|City Capital|Loan|633524
1508|48452|HOME|Loan|188345
1830|47774|City Capital|Loan|831787
1862|47775|City Capital|Loan|1607275
2225|47886|Reso A|Loan|1000000
2880|47886|9% Tax Credit Equity|LIHTC Equity|16890000
1658|47886|HOME|Loan|1896041
2486|48365|City Capital|Loan|2000000
5013|48873|NSP 3|Loan|1500000
2016|48884|Reso A|Loan|1500000
2499|47945|City Capital|Loan|68895
2285|48888|City Capital|Loan|311572
367|48887|City Capital|Loan|336000
441|48910|HOME|Loan|1750000
442|48910|Reso A|Loan|750000
449|48755|City Capital|Loan|663840
450|48755|Reso A|Loan|150000
461|48733|HODAG Program Income|Loan|101933
465|49517|City Capital|Loan|6175000
466|49517|Reso A|Loan|750000
488|48892|City Capital|Loan|383613
490|48891|City Capital|Loan|580183
491|49275|City Capital|Loan|4500000
1866|48744|City Capital|Loan|94455
1894|48623|City Capital|Loan|78760
647|48730|HODAG Program Income|Loan|169595
651|48681|City Capital|Loan|438791
654|49060|City Capital|Loan|680663
657|48685|City Capital|Loan|376022
668|44865|HOME|Loan|7222005
669|44865|Reso A|Loan|744000
4005|48555|4% Tax Credit Equity|LIHTC Equity|3262131
2259|44420|City Capital|Loan|125000
2624|44420|9% Tax Credit Equity|LIHTC Equity|4935000
1402|44420|HOME|Loan|5625000
695|48690|City Capital|Loan|1096039
698|49070|City Capital|Loan|642598
704|48677|City Capital|Loan|223969
709|47838|City Capital|Loan|118291
2442|48689|City Capital|Loan|6700000
4415|48689|4% Tax Credit Equity|LIHTC Equity|15462622
2293|48415|City Capital|Loan|1016509
715|48765|City Capital|Loan|5250000
1793|47770|City Capital|Loan|209000
2449|47824|City Capital|Loan|133265
2358|47826|City Capital|Loan|133324
2138|44423|Reso A|Loan|1500000
