LIHTCDWID|ProjectID|Type|AnnualAllocationAmount
4|48910|4% LIHTC|907426
5|49517|9% LIHTC|2195000
6|44865|9% LIHTC|1141200
7|49576|9% LIHTC|808017
8|48766|4% LIHTC|2246580
9|48625|9% LIHTC|1219919
10|44350|9% LIHTC|1342000
11|48726|4% LIHTC|1689687
12|49143|4% LIHTC|863885
13|46299|4% LIHTC|972365
14|47805|4% LIHTC|871612
15|49534|4% LIHTC|970336
16|48003|4% LIHTC|1747660
17|44369|9% LIHTC|894800
18|44258|9% LIHTC|889224
19|44362|4% LIHTC|1321141
20|48771|4% LIHTC|1357083
21|46076|4% LIHTC|1360580
22|45301|4% LIHTC|945219
23|45677|9% LIHTC|102782
36|48640|9% LIHTC|630863
37|48049|9% LIHTC|1203750
24|45223|4% LIHTC|1552938
38|44888|4% LIHTC|1281594
39|48013|9% LIHTC|800000
40|48621|9% LIHTC|1011151
25|49575|4% LIHTC|809416
26|48909|4% LIHTC|1460651
27|44249|9% LIHTC|574080
28|45280|4% LIHTC|1426455
41|49481|4% LIHTC|788553
42|49248|9% LIHTC|741000
30|125|4% LIHTC|2452294
31|124|4% LIHTC|452606
32|126|4% LIHTC|628953
33|127|4% LIHTC|656421
34|128|4% LIHTC|717717
43|48002|9% LIHTC|874000
29|47960|4% LIHTC|651038
44|48132|9% LIHTC|1543974
45|48644|4% LIHTC|1384588
46|48012|4% LIHTC|1271725
47|49338|4% LIHTC|486282
48|50407|4% LIHTC|2926314
49|44405|4% LIHTC|2146900
50|49173|9% LIHTC|670996
51|50181|4% LIHTC|746685
52|49690|4% LIHTC|995611
53|49706|4% LIHTC|531425
54|45265|4% LIHTC|2646587
55|49171|4% LIHTC|1286489
56|134|9% LIHTC|1029422
57|135|4% LIHTC|617984
58|136|4% LIHTC|767475
