ProjectID|HPDPBVHAPYear1Amount|IsCreditFacility|InclusionaryLowIncomeFloorArea|AcquisitionPrice|AsIsAppraisalAmount|HighestBestAppraisalAmount|IntendedUseAppraisalAmount|IsNominal
43311||||14250||||
43566|||8702|||||
44072||Yes||||||
48516||Yes||||||
48517||Yes||||||
48520||Yes||||||
48524||Yes||||||
48528||Yes||||||
48529||Yes||||||
48531||Yes||||||
48537|||||3680000|||
48538||Yes||||||
44365|||12171|||||
48033||Yes||||||
48037||Yes||||||
47926||||1||770000||
48375||Yes||||||
48087|||37024|||||
48068|||38113|||||
48633||Yes||||||
49139||Yes||||||
49270|||23953|||||
49272|||8055|||||
44865|448978|||||||
46264|||11541|||||
48739|||26487|||||
46262|||5749|||||
49273|||38062|||||
48555|||38687|||||
48743|||106068|||||
44420|310831|||1|6200000|6000000|6195000|
44423||||3||934000||
45961|||55497|||||
48086|||13677|||||
44350||||2|1380000|12200000||Yes
48726||||1|62040805|||Yes
49143||||1|27959193|||Yes
44275||||4||580000||
44369||||9|1240000|1240000||Yes
44258|92098|||4|2380000|2120000||Yes
45142|299319|||||||
48772||||3|12520000|12527400||Yes
44345||||2||3970000||
45677|506539|||||||
44349||||1|1435000|||
44336||||2|3500000||13600000|
44320||||1||28200000||
44403||||1550000||||
44544|333855|||1||730000||
44377|253270|||1||400000|260000|
45206||||1||19600000||
45578||||1750000|6500000|6500000|17490000|
49455||||313825||||
49939||Yes||||||
48640|345368|||||||
48049||||5|6550000|15200000|1800000|
49285|||11794|||||
48735||||1|900000|||Yes
48937||||1|3000000|3000000||Yes
49276|||3849|||||
44306||||1|1000000|1000000||Yes
49391|||39541|||||
48929|||60160|||||
48543|||23037|||||
48510||||4||1930000||
49909||Yes||||||
44254|||120513|||||
50568||Yes||||||
48254||||1|1100000|7200000|5950000|
44303||||2|790000|||
48639|1082152|||||||
46061|||88982|||||
44807|||16135|1600000|2800000|31800000|32400000|
44249||||1|550000|550000||Yes
44241||||30000|1380000|||
44366|610149|||1||2700000||
45675|564100|||||||
49481|391417|||||||
47652|345368|||1||1200000||
49931||Yes||||||
43129||||9||13860000||
44894|||42956|||||
48877|||||6600321|6600000|6600000|
48518||Yes||||||
48530||Yes||||||
44998|690735|||||||
45676|633174|||||||
45998||||4||370000||
44255||||1||11550000||
45001|529564|||||||
45317||||1100000|1100000|||
49940||Yes||||||
45820||||1|8100000||16200000|
43190||||1|1629000|3000000|2000000|
48513||Yes||||||
48132||||2|4700000|17500000|11750000|
48579|||22892|||||
48644|748296|||||||
44405|||104154|1|77350000|77350000|32490000|
49173|345368|||||||
50181|||43889|||||
50329|||18392|||||
49690|||49070|||||
49706|||26136|||||
