ProjectID|ProjectName|ProgramName|StartDate|ProjectedCompletionDate|ActualCompletionDate|TotalProjectUnits|CommercialSquareFootage|BorrowerLegalEntityName|GeneralContractorName|IsDavisBacon|IsSection220NYSLaborLaw|FinalOutcome
39264|TBK605|Participation Loan Program|6/26/2009|||8||||||
39369|897 Empire Blvd HDFC|Article 8A Loan|6/30/2009|||58||897-903 Empire Blvd HDFC||||
39399|51 Columbia St./Masaryk Towers |Article 8A Loan|6/30/2009|||1109||Masaryk towers Corporation||||
39402|UHAB - ROUND 5,5B AND 6|TPT - Tenant Petition|6/30/2009|||31|2189|New-Hab HDFC|ELH Construction|||
39480|SOUTHERN BOULEVARD|LIHTC Year 15|6/26/2009|||21||||||
41408|3511 Barnes Avenue/Tilden I|Article 8A Loan|8/6/2009|||125||Tilden Towers I|Ebro Contracting Corp.|Yes||
41493|143 E. 23rd St/Kenmore Hotel|Article 8A Loan|7/23/2009|||326||Kenmore HDFC|Rosenwach Tank, Inc.|||
43105|211-213 WEST 134 STREET|Participation Loan Program|6/28/2010|||5||St. Stephen's Holdings Housing Development Fund Corporation||||
43276|Luna Park Housing Corp.|Article 8A Loan|6/28/2010|||1576||Luna Park Housing Corp.|Technical Construction Services, Inc.|||
43311|128 West 138 Street, NY|Article 8A Loan|6/29/2010|||59||128 W.138ST HDFC||||
43312|530 Manhattan Avenue, New York|Article 8A Loan|6/29/2010|||60||530 Manhattan Avenue HDFC|MDG Design & Construction LLC|||
43313|1649 Amsterdam Avenue, WashingtonHeightsWestharlem|Article 8A Loan|6/30/2010|||132||Washington Heights, West Harlem HDFC- Heritage Housing|APTek Restoration, Inc.|Yes||
43388|KNICKERBOCKER VILLAGE INC.|LMDC - Preservation|6/30/2010|||1590||||||
43566|505 WEST 51ST STREET|Inclusionary Housing|7/28/2010|||10||501 West 51 Associates LLC|Lemi Construction|||
44072|118-16 153RD STREET|REO|8/3/2010|||1||Restoring Urban Neighborhoods LLC|Horizon Construction|||
45239|ST. LOUIS HALL|Supportive Housing - Rehab|1/28/2011|||124||St. Louis L.P.||||
45586|382 LEFFERTS AVENUE|HARP|3/17/2011|||46||Tali Realty LLC||||
48516|118-48 153RD STREET|REO|10/14/2011|1/16/2013||2||Restored Homes HDFC|Tekton Contracting Corp|||
48517|93-09 ELDERT LANE|REO|10/17/2011|9/19/2012||2||Restored Homes HDFC|Horizon Construction|||
48520|817 EAST 223RD STREET|REO|9/26/2011|2/6/2013||3||Restored Homes HDFC|L. Riso & Sons Co., Inc.|||
48522|874 JEFFERSON AVENUE|NSP 2|7/21/2011|9/14/2012||12||Housing Works 874 Jefferson Housing Development Fund Co||||
48524|141-48 183RD STREET|REO|11/22/2011|12/31/2012||1||RUN LLC|Horizion Construction|||
48528|338 HENDRIX STREET|REO|12/6/2011|1/27/2013||2||Restored Homes HDFC|Horizon Construction|||
48529|102-11 FARMERS BLVD|REO|12/6/2011|12/31/2012||1||RUN LLC|PROJECT EYE CONSULTANTS INC|||
48531|114-34 147TH STREET|REO|12/7/2011|12/3/2012||1||RUN LLC|POKO Builders, LLC|||
48537|TBK515 - JEFFERSON CATCH HDFC|TPT|12/5/2011|11/7/2014||61|19800|Jefferson CATCH HDFC, Inc.||||
48538|187-07 KEESEVILLE AVENUE|REO|1/20/2012|12/23/2012||1||RUN LLC|Horizion Construction|||
44365|9, 11 -17 Second Avenue|Inclusionary Housing|12/15/2011|12/15/2014||65|8800|Jupiter 21 LLC|BFC Second Avenue Builders LLC|||
48033|119-66 178th Place Qns|REO|4/19/2012||7/1/2013|1|||Tip Top General Contracting Corp.|||
48037|140-02 Linden Blvd, Qns|REO|4/19/2012|6/20/2013||1|||POKO Builders, LLC|||
46017|Maple Mesa 232 E169 & 601 E163|Low Income Rental|5/30/2012|2/28/2014||59|6954||P & P Contracting|||
47926|TBK701|TPT|4/30/2012|10/31/2013||12|1184||Prisma Construction Inc|||
48375|3557 Holland Avenue|REO|6/27/2012|6/27/2013||2||Restored Homes HDFC|Empire Home Developers, Inc.|||
48087|Morris Court Apartments|Inclusionary Housing|6/28/2012|6/29/2015||201||Morris Avenue Owners LLC|Joy Construction Corp.|||
47932|TBK507-702 Shinda|TPT|6/28/2012|6/1/2014||21|3023|PASS Properties BK LLC||||
48068|50 North 5th|Inclusionary Housing|7/11/2012|6/30/2015||229|7500|SM Wythe LLC|Noble Construction Group, LLC|||
47933|TBX904|TPT|6/29/2012|5/1/2014||185||TPT Davidson Avenue LLC|Homebuilders 1 LP|||
