ProjectBuildingDWID|ProjectID|BuildingID|BoroID|Block|Lot|BIN|HouseNumber|StreetName|TotalBuildingUnits|BaseSquareFootage|Stories
27178|39264|396384|3|01767|0035|3049130|570|WILLOUGHBY AVENUE|8||8
36565|39369|289672|3|01424|0049|3038411|897|EMPIRE BOULEVARD|58||6
5124|39399|804199|1|00333|0001|1082665|71|COLUMBIA STREET|277||21
7820|39399|804201|1|00333|0001|1086089|85|COLUMBIA STREET|277||3
28749|39399|804200|1|00333|0001|1082666|75|COLUMBIA STREET|277||21
33357|39399|9707|1|00333|0001|1082667|51|COLUMBIA STREET|278||21
702|39402|346992|3|01275|0043|3033211|856|NOSTRAND AVENUE|12||3
20258|39402|376813|3|01168|0065|3029289|633|STERLING PLACE|6||4
21706|39402|379302|3|01806|0041|3050783|260|MARCUS GARVEY BOULEVARD|3||2
31819|39402|219037|3|01509|0052|3040863|411|CHAUNCEY STREET|6||3
32600|39402|332583|3|01739|0004|3048506|529|MARCY AVENUE|4||4
23748|39480|110174|2|02603|0019|2004125|580|SOUTHERN BOULEVARD|21||2
4720|41408|47636|2|04659|0031|2057725|3511|BARNES AVENUE|125||5
38748|41493|12608|1|00879|0027|1018044|143|EAST 23 STREET|326||6
30935|43105|921356|1|01940|0025||211-213|WEST 134 STREET|5||2
3612|43276|342209|3|07268|0001|3320750|828|NEPTUNE AVENUE|315||20
6673|43276|809804|3|07268|0001|3320753|2879|WEST 12 STREET|315||20
26644|43276|809803|3|07268|0001|3320749|2823|WEST 12 STREET|316||20
25895|43276|809794|3|07268|0001|3320752|2954|WEST 8 STREET|315||6
36659|43276|809793|3|07268|0001|3320751|2892|WEST 8 STREET|315||20
32481|43311|41120|1|02006|0049|1060012|128|WEST 138 STREET|59||6
6442|43312|25332|1|01949|0018|1059238|528|MANHATTAN AVENUE|60||7
36492|43313|5609|1|02058|0001|1061221|1641|AMSTERDAM AVENUE|132||5
1105|43388|805099|1|00253|0001|1077591|30|MONROE STREET|140||13
1979|43388|805094|1|00253|0001|1077585|16|MONROE STREET|134||9
4783|43388|805102|1|00253|0001|1077591|36|MONROE STREET|106||13
7134|43388|805103|1|00253|0001|1077591|38|MONROE STREET|137||13
