ProjectID|BuildingID|AffordabilityBand|TotalUnits
39264|396384|Low Income|8
39369|289672|Low Income|57
39369|289672|Other|1
39399|804199|Low Income|277
39399|804201|Low Income|277
39399|804200|Low Income|277
39399|9707|Low Income|277
39399|9707|Other|1
39402|346992|Low Income|12
39402|376813|Low Income|6
39402|379302|Low Income|3
39402|219037|Low Income|6
39402|332583|Low Income|4
39480|110174|Low Income|21
41408|47636|Low Income|125
41493|12608|Low Income|318
41493|12608|Moderate Income|8
43105|921356|Low Income|5
43276|342209|Low Income|315
43276|809804|Low Income|315
43276|809803|Low Income|316
43276|809794|Low Income|315
43276|809793|Low Income|315
43311|41120|Low Income|49
43311|41120|Other|10
43312|25332|Low Income|51
43312|25332|Other|9
43313|5609|Low Income|110
43313|5609|Moderate Income|21
43313|5609|Other|1
43388|805099|Low Income|140
43388|805094|Low Income|134
43388|805102|Low Income|106
43388|805103|Low Income|137
43388|805104|Low Income|137
43388|805093|Low Income|139
43388|805098|Low Income|134
43388|805101|Low Income|123
43388|25490|Low Income|132
43388|805092|Low Income|150
43388|805097|Low Income|108
43388|805100|Low Income|150
43566|923608|Low Income|10
44072|561888|Moderate Income|1
45239|37078|Low Income|123
45239|37078|Other|1
45586|906594|Moderate Income|46
48516|561918|Moderate Income|2
48517|652108|Moderate Income|2
48520|69955|Moderate Income|3
48522|317579|Low Income|12
48524|581971|Moderate Income|1
48528|310368|Moderate Income|2
48529|653785|Moderate Income|1
48531|557198|Moderate Income|1
48537|317091|Low Income|60
48537|317091|Other|1
48538|670527|Moderate Income|1
44365|937290|Low Income|13
44365|937290|Not Applicable|52
48033|579571|Moderate Income|1
48037|674334|Moderate Income|1
46017|935093|Low Income|34
46017|935094|Low Income|25
47926|375146|Low Income|1
47926|375146|Moderate Income|2
47926|154977|Low Income|3
47926|130270|Low Income|1
47926|130270|Moderate Income|5
48375|85975|Moderate Income|2
48087|939398|Low Income|20
48087|939398|Not Applicable|81
48087|939251|Low Income|20
48087|939251|Not Applicable|80
47932|940238|Low Income|6
47932|378834|Low Income|7
47932|358433|Low Income|4
47932|359493|Low Income|2
47932|376430|Low Income|2
48068|939350|Low Income|46
48068|939350|Not Applicable|183
47933|60412|Low Income|16
47933|60412|Other|1
47933|60420|Low Income|30
