TaxIncentiveDWID|ProjectID|TaxIncentiveName|Year1Amount
1839|39264|Article XI Tax Exemption|1266379
2079|39402|Article XI Tax Exemption|69684
1835|48537|Article XI Tax Exemption|145368
1843|47926|Article XI Tax Exemption|31126
1847|47933|Article XI Tax Exemption|340178
1715|48305|Article XI Tax Exemption|103000
1238|47865|Article XI Tax Exemption|128209
654|48739|Article XI Tax Exemption|68194
2039|48532|Article XI Tax Exemption|437903
1370|47843|Article XI Tax Exemption|142146
2157|48540|Article XI Tax Exemption|166228
1999|47914|Article XI Tax Exemption|85349
1883|45862|Article XI Tax Exemption|64711
1827|45863|Article XI Tax Exemption|52020
1943|44254|Article XI Tax Exemption|940157
1114|47844|Article XI Tax Exemption|36280
1180|44241|UDAAP Tax Exemption|86142
2689|125|Article XI Tax Exemption|712664
2697|130|Article XI Tax Exemption|143101
2701|131|Article XI Tax Exemption|135899
2705|126|Article XI Tax Exemption|159476
2709|127|Article XI Tax Exemption|153315
1711|48287|Article XI Tax Exemption|412000
2245|45998|Article XI Tax Exemption|59467
2713|128|Article XI Tax Exemption|228681
2717|132|Article XI Tax Exemption|191707
2721|133|Article XI Tax Exemption|225000
1418|48533|Article XI Tax Exemption|170404
