ProjectID|BuildingID|BedroomSize|MaxAllowableIncome|TotalUnits|MedianInitialLegalRent|HighInitialLegalRent|LowInitialLegalRent|MedianActualRent|HighActualRent|LowActualRent
39369|289672|1-BR|111%-120%|45||||667|667|667
39369|289672|2-BR|111%-120%|7||||799|799|799
39369|289672|studio|111%-120%|6||||535|535|535
41408|47636|1-BR|111%-120%|96||||507|821|476
41408|47636|2-BR|111%-120%|92||||720|747|652
41408|47636|3-BR|111%-120%|64||||851|865|805
41493|12608|Studio|111%-120%|652||||848|1114|704
43276|342209|1-BR|111%-120%|39||||762|834|683
43276|342209|2-BR|111%-120%|156||||960|1039|874
43276|342209|3-BR|111%-120%|119||||1130|1216|946
43276|342209|Studio|111%-120%|4||||556.5|564|549
43276|809804|1-BR|111%-120%|78||||769|905|683
43276|809804|2-BR|111%-120%|156||||967|1082|874
43276|809804|3-BR|111%-120%|78||||1108|1180|1029
43276|809803|1-BR|111%-120%|41||||827|1039|570
43276|809803|2-BR|111%-120%|157||||1003|1209|824
43276|809803|3-BR|111%-120%|117||||1032|1209|557
43276|809803|Studio|111%-120%|3||||557|564|542
43276|809794|1-BR|111%-120%|39||||776|841|690
43276|809794|2-BR|111%-120%|156||||963.5|1046|874
43276|809794|3-BR|111%-120%|119||||1130|1223|917
43276|809794|Studio|111%-120%|4||||556|564|549
43276|809793|1-BR|111%-120%|58||||762|987|666
43276|809793|2-BR|111%-120%|154||||960|7015|852
43276|809793|3-BR|111%-120%|98||||1123|1216|1029
43276|809793|Studio|111%-120%|4||||553|564|542
43311|41120|1-BR|111%-120%|104||||385|900|330
43311|41120|2-BR|111%-120%|12||||495|1000|385
43311|41120|4-BR|111%-120%|2||||385|385|385
43312|25332|1-BR|111%-120%|76||||551|1313|533
43312|25332|2-BR|111%-120%|38||||582|1700|582
43312|25332|3-BR|111%-120%|4||||685|685|685
43312|25332|Studio|111%-120%|2||||480|480|480
43313|5609|Studio|111%-120%|140||||851|1220|37
43313|5609|||124||||851|1220|37
43566|923608|1-BR|71%-80%|5|1135|1135|1135|||
43566|923608|Studio|71%-80%|5|898|898|898|||
44072|561888||111%-120%|1||||||
45239|37078|Studio||74|1343|1343|1343|875|875|875
45586|906594|1-BR|91%-100%|28|1300|1300|1300|||
45586|906594|2-BR|91%-100%|13|1600|1600|1600|||
45586|906594|Studio|91%-100%|5|1100|1100|1100|||
48516|561918||111%-120%|2||||||
48517|652108||111%-120%|2||||||
48520|69955||111%-120%|3||||||
48522|317579|Studio|41%-50%|12||||||
48524|581971||111%-120%|1||||||
48528|310368||111%-120%|2||||||
48529|653785||111%-120%|1||||||
48531|557198||111%-120%|1||||||
48537|317091|1-BR|51%-60%|23|835|835|835|||
48537|317091|2-BR|51%-60%|15|1010|1010|1010|||
48537|317091|3-BR|51%-60%|6|1165|1165|1165|||
48537|317091|4-BR|51%-60%|13|1300|1300|1300|||
48537|317091|Studio|51%-60%|3|775|775|775|||
48537|317091||Super|1||||||
48538|670527||111%-120%|1||||||
44365|937290|1-BR|71%-80%|8||||||
44365|937290|2-BR|71%-80%|2||||||
44365|937290|Studio|71%-80%|3||||||
44365|937290||Non-Restricted|52||||||
48033|579571||111%-120%|1||||||
48037|674334||111%-120%|1||||||
47926|375146|2-BR||2|1700|1700|1700|||
47926|375146|3-BR||1|800|800|800|||
47926|154977|1-BR||3|648|986|648|||
47926|130270|1-BR||5|1268|1268|1268|||
47926|130270|2-BR||1|174|174|174|||
48375|85975||111%-120%|2||||||
48087|939398|1-BR|71%-80%|6|1187|1187|1187|||
48087|939398|2-BR|71%-80%|9|1433|1433|1433|||
48087|939398|3-BR|71%-80%|1|1649|1649|1649|||
48087|939398|Studio|71%-80%|4|1105|1105|1105|||
48087|939251|1-BR|71%-80%|8|1187|1187|1187|||
48087|939251|2-BR|71%-80%|9|1433|1433|1433|||
48087|939251|3-BR|71%-80%|1|1649|1649|1649|||
48087|939251|Studio|71%-80%|2|1105|1105|1105|||
48068|939350|1-BR|51%-60%|23|875|875|875|||
