ProjectBuildingDWID,ProjectID,BuildingID,BoroID,Block,Lot,BIN,HouseNumber,StreetName,TotalBuildingUnits,BaseSquareFootage,Stories,Lat,Lon
27178,39264,396384,3,01767,0035,3049130,570,WILLOUGHBY AVENUE,8,,8,40.6940688,-73.9466232
36565,39369,289672,3,01424,0049,3038411,897,EMPIRE BOULEVARD,58,,6,40.66379,-73.9323469
5124,39399,804199,1,00333,0001,1082665,71,COLUMBIA STREET,277,,21,40.7173605,-73.9800858
7820,39399,804201,1,00333,0001,1086089,85,COLUMBIA STREET,277,,3,40.7173611,-73.9800854
28749,39399,804200,1,00333,0001,1082666,75,COLUMBIA STREET,277,,21,40.7173607,-73.9800857
33357,39399,9707,1,00333,0001,1082667,51,COLUMBIA STREET,278,,21,40.7173394,-73.9804602
702,39402,346992,3,01275,0043,3033211,856,NOSTRAND AVENUE,12,,3,40.668687,-73.9509549
20258,39402,376813,3,01168,0065,3029289,633,STERLING PLACE,6,,4,40.673684,-73.957717
21706,39402,379302,3,01806,0041,3050783,260,MARCUS GARVEY BOULEVARD,3,,2,40.688692,-73.939483
31819,39402,219037,3,01509,0052,3040863,411,CHAUNCEY STREET,6,,3,40.681935,-73.918004
32600,39402,332583,3,01739,0004,3048506,529,MARCY AVENUE,4,,4,40.697207,-73.949321
23748,39480,110174,2,02603,0019,2004125,580,SOUTHERN BOULEVARD,21,,2,40.812367,-73.902271
4720,41408,47636,2,04659,0031,2057725,3511,BARNES AVENUE,125,,5,40.877136,-73.862321
38748,41493,12608,1,00879,0027,1018044,143,EAST 23 STREET,326,,6,40.7393147,-73.984211
30935,43105,921356,1,01940,0025,,211-213,WEST 134 STREET,5,,2,40.815124,-73.94478
3612,43276,342209,3,07268,0001,3320750,828,NEPTUNE AVENUE,315,,20,40.5796663,-73.9774923
6673,43276,809804,3,07268,0001,3320753,2879,WEST 12 STREET,315,,20,40.5779991,-73.979571
26644,43276,809803,3,07268,0001,3320749,2823,WEST 12 STREET,316,,20,40.5790251,-73.9795989
25895,43276,809794,3,07268,0001,3320752,2954,WEST 8 STREET,315,,6,40.5764249,-73.9766234
36659,43276,809793,3,07268,0001,3320751,2892,WEST 8 STREET,315,,20,40.5792745,-73.9763458
32481,43311,41120,1,02006,0049,1060012,128,WEST 138 STREET,59,,6,40.816695,-73.9411017
6442,43312,25332,1,01949,0018,1059238,528,MANHATTAN AVENUE,60,,7,40.809047,-73.9538867
36492,43313,5609,1,02058,0001,1061221,1641,AMSTERDAM AVENUE,132,,5,40.822893,-73.949027
1105,43388,805099,1,00253,0001,1077591,30,MONROE STREET,140,,13,40.7115148,-73.995126
1979,43388,805094,1,00253,0001,1077585,16,MONROE STREET,134,,9,40.7114471,-73.9959444
4783,43388,805102,1,00253,0001,1077591,36,MONROE STREET,106,,13,40.7115438,-73.9947753
7134,43388,805103,1,00253,0001,1077591,38,MONROE STREET,137,,13,40.7115535,-73.9946584
8262,43388,805104,1,00253,0001,1077591,40,MONROE STREET,137,,,40.7115631,-73.9945415
17542,43388,805093,1,00253,0001,1077585,14,MONROE STREET,139,,13,40.7114375,-73.9960613
18359,43388,805098,1,00253,0001,1077585,20,MONROE STREET,134,,13,40.7114665,-73.9957106
18840,43388,805101,1,00253,0001,1077591,34,MONROE STREET,123,,13,40.7115341,-73.9948922
20063,43388,25490,1,00253,0001,1077585,2,MONROE STREET,132,,13,40.7109219,-73.995427
20743,43388,805092,1,00253,0001,1077585,12,MONROE STREET,150,,13,40.7114278,-73.9961779
23586,43388,805097,1,00253,0001,1077585,18,MONROE STREET,108,,13,40.7114568,-73.9958275
28176,43388,805100,1,00253,0001,1077591,32,MONROE STREET,150,,13,40.7115431,-73.9950903
17938,43566,923608,1,01080,0025,,505,WEST 51 ST,10,,3,40.7655053,-73.9917962
16685,44072,561888,4,12206,0028,4265018,118-16,153 STREET,1,504,2,40.680332,-73.789643
27907,45239,37078,1,01253,0010,1034178,319,WEST 94 STREET,124,,4,40.794661,-73.975245
28837,45586,906594,3,01330,0025,,382,LEFFERTS AVENUE,46,,,40.6624701,-73.9487671
40441,48516,561918,4,12206,0044,4265033,118-48,153 STREET,2,710,2,40.679751,-73.78947
40442,48517,652108,4,08940,0091,4184524,93-09,ELDERTS LANE,2,810,2,40.684144,-73.866212
40444,48520,69955,2,04848,0030,2063802,817,EAST 223 STREET,3,1232,3,40.885466,-73.857617
41196,48522,317579,3,01487,0017,3039849,874,JEFFERSON AVENUE,12,,,40.686184,-73.922552
41396,48524,581971,4,13052,0063,4280743,141-48,183 STREET,1,520,2,40.669495,-73.760889
40450,48528,310368,3,03994,0020,3088786,338,HENDRIX STREET,2,616,3,40.673619,-73.889884
40451,48529,653785,4,10858,0006,4232077,102-11,FARMERS BOULEVARD,1,,2,40.707737,-73.767383
41804,48531,557198,4,11977,0031,4259427,114-34,147 STREET,1,504,2,40.684571,-73.796127
40478,48537,317091,3,01997,0020,3057383,28,JEFFERSON AVENUE,61,,6,40.682316,-73.956253
40479,48538,670527,4,10419,0062,4221695,187-07,KEESEVILLE AVENUE,1,760,3,40.697778,-73.767189
39920,44365,937290,1,00456,0027,1000000,21,EAST 1 STREET,65,72437,12,40.7243952,-73.9911851
40715,48033,579571,4,12467,0046,4269286,119-66,178 PLACE,1,684,2,40.686251,-73.765888
40716,48037,674334,4,11970,0001,4259118,140-02,LINDEN BOULEVARD,1,800,2,40.683396,-73.803153
39891,46017,935093,2,02453,0061,200000,232,EAST 169 STREET,34,34912,8,40.8355786,-73.91444
39892,46017,935094,2,02621,0032,200000,601,EAST 163 STREET,25,30978,6,40.823977,-73.907549
40729,47926,375146,3,00389,0057,3006017,31,ST MARKS PLACE,3,,3,40.682535,-73.981222
40730,47926,154977,3,00797,0029,3013475,258,51 STREET,3,,4,40.647467,-74.016246
40731,47926,130270,3,00959,0002,3020276,237,5 AVENUE,6,,3,40.675175,-73.980983
40785,48375,85975,2,04657,0113,2057705,3557,HOLLAND AVENUE,2,1140,3,40.8783839,-73.864333
40725,48087,939398,2,02334,0043,2091158,253,EAST 142 STREET,101,,,40.814847,-73.9248719
40726,48087,939251,2,02334,0038,200000,250,EAST 144 STREET,100,,,40.8155897,-73.9245132
40776,47932,940238,3,01210,0039,300000,108,ALBANY AVENUE,6,,2,40.6768,-73.938886
40777,47932,378834,3,01630,0040,3044498,186,STUYVESANT AVENUE,7,,3,40.68879,-73.933544
40778,47932,358433,3,01651,0018,3045478,752,PUTNAM AVENUE,4,,,40.685911,-73.931656
40779,47932,359493,3,01625,0067,3044284,609,QUINCY STREET,2,,4,40.688998,-73.934818
40780,47932,376430,3,01372,0055,3036515,1429,STERLING PLACE,2,,2,40.671726,-73.931342
40723,48068,939350,3,02341,0009,3062292,50,NORTH 5 STREET,229,54850,7,40.7186267,-73.9621398
40787,47933,60412,2,02861,0010,2008342,1664,DAVIDSON AVENUE,17,,6,40.846096,-73.914314
40336,47933,60420,2,02861,0021,2008348,1694,DAVIDSON AVENUE,31,,6,40.846773,-73.913826
